   Nr| Name             |Kill Count|     Money|
----------------------------------------------
   1.| Adore            |       70 |    4905.8 |
   2.| Adriana          |      103 |   4723.02 |
   3.| Agnese           |      187 |   8449.29 |
   4.| Aigneis          |      134 |   3219.96 |
   5.| Aimil            |      118 |   4872.56 |
   6.| Allyce           |      151 |   3933.27 |
   7.| Angelique        |       26 |   2732.14 |
   8.| Annaliese        |      162 |   5362.33 |
   9.| Augustine        |      163 |   7095.61 |
  10.| Aurore           |       27 |   8391.22 |
  11.| Ayn              |       47 |   3981.71 |
  12.| Babita           |       67 |   6291.64 |
  13.| Beatriz          |       69 |    2418.8 |
  14.| Beth             |      166 |   3052.47 |
  15.| Bill             |       76 |   3070.48 |
  16.| Caryl            |      143 |    278.45 |
  17.| Cathie           |      197 |   5755.74 |
  18.| Catrina          |       93 |   1275.82 |
  19.| Charissa         |       83 |   4736.46 |
  20.| Charlena         |       25 |   9759.09 |
  21.| Charmaine        |       63 |    178.19 |
  22.| Chastity         |      112 |   3829.61 |
  23.| Cherrita         |       97 |   9465.06 |
  24.| Chickie          |       31 |   6885.57 |
  25.| Claresta         |      169 |   9461.83 |
  26.| Codie            |      176 |   5652.06 |
  27.| Courtnay         |       88 |   1437.13 |
  28.| Cyb              |      144 |   9764.97 |
  29.| Dari             |        6 |   9908.68 |
  30.| Desirae          |      172 |    305.66 |
  31.| Di               |      198 |    8491.7 |
  32.| Dianemarie       |      155 |   4270.55 |
  33.| Donetta          |      109 |   7214.59 |
  34.| Doralynne        |       46 |   4034.85 |
  35.| Elena            |      164 |   2119.58 |
  36.| Elora            |       80 |   6449.82 |
  37.| Emmey            |       35 |   1935.22 |
  38.| Etta             |       67 |   4277.67 |
  39.| Eugine           |       99 |   3769.96 |
  40.| Fidelia          |      195 |   3920.42 |
  41.| Gratia           |      105 |    2124.4 |
  42.| Helena           |      145 |   4275.72 |
  43.| Helsa            |       29 |   9097.76 |
  44.| Hermione         |       24 |   4168.73 |
  45.| Janenna          |      176 |   5483.45 |
  46.| Jany             |      174 |   5209.85 |
  47.| Jenilee          |        9 |   8189.34 |
  48.| Jorry            |      170 |   9439.92 |
  49.| Jsandye          |      120 |   9553.13 |
  50.| June             |      144 |    3473.1 |
  51.| Kassey           |       56 |    8567.1 |
  52.| Kathy            |       79 |   9825.93 |
  53.| Kayla            |       59 |   8749.25 |
  54.| Kylynn           |       92 |   2847.13 |
  55.| Lanna            |       13 |   9254.35 |
  56.| Larine           |       71 |   6192.66 |
  57.| Larine           |      125 |   8323.36 |
  58.| Leeanne          |       69 |   1255.89 |
  59.| Leia             |      186 |   7814.29 |
  60.| Leontine         |       92 |      9153 |
  61.| Liana            |       61 |   3298.27 |
  62.| Lila             |       89 |    9817.2 |
  63.| Lilith           |       60 |   2830.13 |
  64.| Lilith           |       39 |   7813.21 |
  65.| Linzy            |       28 |   7091.75 |
  66.| Lonnie           |      182 |   4963.94 |
  67.| Lyssa            |       99 |   3376.13 |
  68.| Mara             |       72 |   7093.31 |
  69.| Margalo          |       26 |   8526.04 |
  70.| Melanie          |       20 |   5522.87 |
  71.| Michaelina       |       54 |   6421.91 |
  72.| Minne            |      103 |   9938.64 |
  73.| Myriam           |      183 |   5505.54 |
  74.| Natka            |       14 |   3454.96 |
  75.| Natka            |       96 |   1794.92 |
  76.| Nessie           |      117 |   2429.93 |
  77.| Nickie           |      197 |   8650.33 |
  78.| Ninnetta         |      163 |    1292.8 |
  79.| Oralee           |        8 |    424.39 |
  80.| Paola            |      151 |   4951.47 |
  81.| Paulita          |      148 |   1849.51 |
  82.| Phedra           |      151 |   7751.35 |
  83.| Rani             |      134 |    454.69 |
  84.| Roberta          |      125 |   2347.38 |
  85.| Romona           |      198 |   5789.28 |
  86.| Roxane           |       11 |   3333.14 |
  87.| Roxane           |      193 |    6640.4 |
  88.| Rubie            |      198 |   9565.78 |
  89.| Selma            |      118 |    8765.4 |
  90.| Shaylyn          |      115 |    570.28 |
  91.| Starla           |       91 |   9145.54 |
  92.| Tami             |       90 |   7060.01 |
  93.| Tarra            |      167 |   6705.78 |
  94.| Tera             |      189 |   1833.85 |
  95.| Theodora         |      172 |   1923.74 |
  96.| Theodora         |       77 |   1989.21 |
  97.| Therine          |       31 |    594.13 |
  98.| Tonia            |      165 |   7983.48 |
  99.| Wileen           |        9 |   5572.06 |
 100.| Yetty            |        5 |   5691.81 |
----------------------------------------------
